id,title,release_date,popularity,vote_average,vote_count
507086,Jurassic World Dominion,01/06/2022,2594.003,6.8,303
361743,Top Gun: Maverick,24/05/2022,973.262,8.3,905
420821,Chip 'n Dale: Rescue Rangers,18/05/2022,1029.579,7.1,490
532710,Firestarter,12/05/2022,61.275,6.2,229
785985,The Takedown,06/05/2022,1121.84,5.9,217
453395,Doctor Strange in the Multiverse of Madness,04/05/2022,2195.331,7.4,2220
818397,Memory,28/04/2022,2622.589,7.3,253
648579,The Unbearable Weight of Massive Talent,20/04/2022,230.301,7.4,195
294793,All the Old Knives,08/04/2022,461.961,6,267
739993,Metal Lords,08/04/2022,149.045,6.8,299
639933,The Northman,07/04/2022,2725.923,7.3,1444
338953,Fantastic Beasts: The Secrets of Dumbledore,06/04/2022,4726.67,6.8,1645
661231,Operation Mincemeat,01/04/2022,126.404,6.6,213
526896,Morbius,30/03/2022,3526.302,6.4,1546
675353,Sonic the Hedgehog 2,30/03/2022,3337.369,7.8,1961
752623,The Lost City,24/03/2022,3513.061,6.8,1088
545611,Everything Everywhere All at Once,24/03/2022,400.342,8.4,572
760868,Black Crab,18/03/2022,318.161,6.3,473
629542,The Bad Guys,17/03/2022,1315.759,7.8,603
760104,X,17/03/2022,95.243,6.8,439
763285,Ambulance,16/03/2022,1021.074,7,762
696806,The Adam Project,11/03/2022,521.96,7.1,2438
508947,Turning Red,10/03/2022,1695.419,7.5,2410
628900,The Contractor,10/03/2022,1412.462,6.6,304
840882,The Weekend Away,03/03/2022,206.418,6,414
787752,Fresh,03/03/2022,47.163,6.9,580
414906,The Batman,01/03/2022,1890.353,7.8,5075
799876,The Outfit,25/02/2022,882.959,7.1,266
585083,Hotel Transylvania: Transformania,25/02/2022,663.293,7.2,963
833425,No Exit,25/02/2022,478.39,6.8,522
928381,Restless,25/02/2022,311.186,6,254
626735,Dog,17/02/2022,165.763,7.3,355
818750,The In Between,11/02/2022,290.47,7.1,313
335787,Uncharted,10/02/2022,1891.59,7.1,2362
836225,The Exorcism of God,10/02/2022,1199.44,6.8,219
823625,Blacklight,10/02/2022,530.874,6.3,416
800510,Kimi,10/02/2022,409.975,6.3,429
836009,Against the Ice,10/02/2022,87.478,6.9,293
615904,Marry Me,09/02/2022,166.512,6.9,428
505026,Death on the Nile,09/02/2022,146.895,6.5,1784
818647,Through My Window,04/02/2022,235.077,7.5,1943
406759,Moonfall,03/02/2022,1063.522,6.5,1211
774825,The Ice Age Adventures of Buck Wild,28/01/2022,584.042,6.8,1199
795514,The Fallout,28/01/2022,146.322,7.5,223
817648,Home Team,28/01/2022,73.66,6.8,515
892153,Tom and Jerry Cowboy Up!,24/01/2022,305.649,7,320
245842,The King's Daughter,21/01/2022,67.941,7.4,528
920394,My Father's Violin,21/01/2022,33.858,8,258
790142,The Royal Treatment,20/01/2022,94.482,6.8,566
926899,The House,14/01/2022,241.264,7,625
760926,Gold,13/01/2022,289.633,6.4,279
646385,Scream,12/01/2022,383.726,6.8,1386
760336,Munich: The Edge of War,06/01/2022,28.671,6.9,339
522016,The 355,05/01/2022,237.567,6.1,488
657644,Minnal Murali,24/12/2021,66.103,7.2,234
476669,The King's Man,22/12/2021,480.789,6.9,2774
826749,Fortress,17/12/2021,112.83,6.2,221
765245,Swan Song,17/12/2021,44.345,7.4,307
727293,The Tender Bar,17/12/2021,32.34,6.7,326
624860,The Matrix Resurrections,16/12/2021,364.829,6.7,3768
554230,The Lost Daughter,16/12/2021,37.335,6.6,583
593395,Diabolik,16/12/2021,8.973,6.2,374
634649,Spider-Man: No Way Home,15/12/2021,2021.959,8.1,13412
754067,Vicky and Her Mystery,15/12/2021,88.415,7.2,381
598331,Rumble,15/12/2021,32.727,6.9,293
